ID,Clasa,Cerinta,Raspuns
1,1,Daca ai 5 mere si primesti inca 3 de la mama ta, cate mere ai in total?,8 mere
2,1,Calculeaza rezultatul adunarii: 12 + 7.,19
3,1,Care este numarul mai mic: 15 sau 18?,15
4,2,La un concurs s-au inscris 24 de fete si 16 baieti. Cati copii s-au inscris in total?,40 copii
5,2,Scade 15 din numarul 40.,25
6,2,Gaseste numarul cu 10 mai mare decat 85.,95
7,3,Care este produsul numerelor 6 si 7?,42
8,3,Imparte numarul 20 la 4.,5
9,3,Daca o ciocolata costa 5 lei, cat vor costa 9 ciocolate?,45 lei
10,3,Afla numarul necunoscut 'x' din ecuatia: x + 15 = 50.,35
11,4,Calculeaza perimetrul unui patrat cu latura de 5 cm.,20 cm
12,4,Cat fac 125 inmultit cu 4?,500
13,4,Transforma 2 kilometri in metri.,2000 metri
14,4,Daca imparti 81 la 9 si apoi aduni 10, ce rezultat obtii?,19
15,4,Scrie numarul format din 3 mii, 5 sute si 2 unitati.,3502
16,5,Calculeaza media aritmetica a numerelor 10 si 20.,15
17,5,Cat este 2 la puterea a 3-a?,8
18,5,Transforma fractia 1/2 intr-un numar zecimal.,0.5
19,5,Un dreptunghi are lungimea de 10 cm si latimea de 4 cm. Care este aria lui?,40 cm patrati
20,5,Daca un unghi are 90 de grade, cum se numeste acesta?,Unghi drept
